geom,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
0101000000894160E5D0BA59405EBA490C022BF13F,1.073,102.919,314.8,1.6,1.2,2016-01-28,0625,Aqua,52,5.0       ,292.8,18.4
0101000000FCA9F1D24D7259404C37894160E5F63F,1.431,101.786,317.6,1.2,1.1,2016-01-03,0330,Terra,51,5.0       ,298.7,16.5
01010000003108AC1C5A9C59405C8FC2F5285CF53F,1.335,102.443,320.6,2.3,1.5,2016-01-05,0615,Aqua,49,5.0       ,299.1,45.5
01010000002DB29DEFA7BE5940DBF97E6ABC74EF3F,0.983,102.979,315.5,2.1,1.4,2016-01-05,0615,Aqua,31,5.0       ,297.2,27.7
0101000000E17A14AE47B15940448B6CE7FBA9E53F,0.677,102.77,315.9,2.2,1.4,2016-01-05,0615,Aqua,39,5.0       ,295.9,34.7
0101000000D9CEF753E3B55940560E2DB29DEFE33F,0.623,102.842,312.7,2.2,1.4,2016-01-05,0615,Aqua,55,5.0       ,295.1,29.2
010100000048E17A14AEB75940FED478E92631D83F,0.378,102.87,315,2.2,1.4,2016-01-05,0615,Aqua,63,5.0       ,296.1,35.8
0101000000E3A59BC420B85940A8C64B378941D83F,0.379,102.877,314.9,2.2,1.4,2016-01-05,0615,Aqua,42,5.0       ,295.8,31.6
010100000052B81E85EB99594046B6F3FDD478C9BF,-0.199,102.405,313.5,2.4,1.5,2016-01-05,0615,Aqua,26,5.0       ,293.6,38
0101000000B81E85EB51B8594025068195438BCCBF,-0.223,102.88,312.9,2.2,1.4,2016-01-05,0615,Aqua,12,5.0       ,293.5,30.6
01010000009CC420B072B859406891ED7C3F35CEBF,-0.236,102.882,314.1,2.2,1.4,2016-01-05,0615,Aqua,30,5.0       ,294.7,34.6
0101000000295C8FC2F5785940EE7C3F355EBAF53F,1.358,101.89,313.4,2.5,1.5,2016-01-05,0615,Aqua,22,5.0       ,295.9,31.7
0101000000355EBA490C7A594023DBF97E6ABCF43F,1.296,101.907,314.8,2.5,1.5,2016-01-05,0615,Aqua,46,5.0       ,296.3,37.8
010100000017D9CEF753BB5940C976BE9F1A2FF13F,1.074,102.927,315.6,1.5,1.2,2016-01-05,0320,Terra,64,5.0       ,297.6,17.7
01010000009A99999999815940A8C64B378941F63F,1.391,102.025,316.1,1.8,1.3,2016-01-05,0320,Terra,65,5.0       ,297.1,23.6
01010000006ABC7493187C594052B81E85EB51F63F,1.395,101.939,317,1.4,1.2,2016-01-06,0700,Aqua,67,5.0       ,299.8,17.9
0101000000B6F3FDD4788159401283C0CAA145F63F,1.392,102.023,322.6,1.4,1.2,2016-01-06,0700,Aqua,54,5.0       ,301.4,22.7
01010000001D5A643BDF8F5940A8C64B378941F63F,1.391,102.248,317.6,1.5,1.2,2016-01-06,0700,Aqua,59,5.0       ,299.6,17
010100000014AE47E17A9C5940D9CEF753E3A5F53F,1.353,102.445,323.5,1.5,1.2,2016-01-06,0700,Aqua,18,5.0       ,302.1,26.7
01010000005C8FC2F5289C59403108AC1C5A64F53F,1.337,102.44,326.3,1.5,1.2,2016-01-06,0700,Aqua,37,5.0       ,303.7,31.8
0101000000EE7C3F355EBA5940C976BE9F1A2FF13F,1.074,102.912,319.8,1.6,1.3,2016-01-06,0700,Aqua,72,5.0       ,299.8,26.4
0101000000E5D022DBF97E5940FA7E6ABC7493EC3F,0.893,101.984,321.5,1.4,1.2,2016-01-06,0700,Aqua,36,5.0       ,301.6,21.3
0101000000273108AC1C9A5940560E2DB29DEFC73F,0.187,102.408,321.7,1.5,1.2,2016-01-06,0700,Aqua,48,5.0       ,299.6,24.1
010100000077BE9F1A2FAD59409CC420B07268D9BF,-0.397,102.706,311.7,2.3,1.5,2016-01-06,0405,Terra,44,5.0       ,293.7,31.4
0101000000F2D24D6210A059408FC2F5285C8FD2BF,-0.29,102.501,310.4,2.2,1.4,2016-01-06,0405,Terra,37,5.0       ,293.8,23.3
01010000002B8716D9CEB75940000000000000D83F,0.375,102.872,310.1,2.3,1.5,2016-01-06,0405,Terra,12,5.0       ,291,21.4
01010000005839B4C876BE59403D0AD7A3703DE23F,0.57,102.976,310.9,2.4,1.5,2016-01-06,0405,Terra,27,5.0       ,293,25.3
0101000000105839B4C8BE5940E9263108AC1CE23F,0.566,102.981,311.7,2.4,1.5,2016-01-06,0405,Terra,25,5.0       ,292.5,26.3
01010000008FC2F5285C7F59404E62105839B4EC3F,0.897,101.99,313.1,1.9,1.4,2016-01-06,0405,Terra,42,5.0       ,294.4,22.7
0101000000CDCCCCCCCC7C59403D0AD7A3703DEE3F,0.945,101.95,314.3,1.9,1.4,2016-01-06,0405,Terra,49,5.0       ,293.6,31.1
0101000000E3A59BC420C05940DBF97E6ABC74EF3F,0.983,103.002,313.1,2.3,1.5,2016-01-06,0405,Terra,41,5.0       ,294.2,27.3
0101000000022B8716D9BE59405A643BDF4F8DEF3F,0.986,102.982,312.9,2.3,1.5,2016-01-06,0405,Terra,49,5.0       ,294.1,27.3
0101000000CDCCCCCCCC4C5940D122DBF97E6AF43F,1.276,101.2,316,1.7,1.3,2016-01-06,0405,Terra,31,5.0       ,296.1,26.3
0101000000986E1283C0BA5940C976BE9F1A2FF13F,1.074,102.918,311.8,2.3,1.5,2016-01-06,0405,Terra,51,5.0       ,294.1,23.3
